,name,rating,reviews,type,hq,old,employees
1458,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 433 more,13 years old,10000+ employees
1459,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
1460,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
1461,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
1462,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
1463,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
1464,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 450 more,13 years old,10000+ employees
1465,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 354 more,26 years old,10000+ employees
1466,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
1467,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
1468,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
1469,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
1470,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1471,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
1472,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
1473,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
1474,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
1475,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
1476,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
1477,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
1478,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
1479,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
1480,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
1481,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
1482,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
1483,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
1484,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 642 more,27 years old,10000+ employees
1485,Wipro,3.8,6.5k Reviews,Public,Bangalore + 115 more,75 years old,10000+ employees
1486,Concentrix Daksh Service...,4.0,6.2k Reviews,New Delhi + 35 more,21 years old,10000+ employees,
1487,Vodafone,4.3,5.9k Reviews,Public,Berkshire + 366 more,38 years old,10000+ employees
1488,HDB Financial Services,4.0,5.5k Reviews,Private,Ahmedabad + 433 more,13 years old,10000+ employees
1489,Bharti Airtel,4.2,5.4k Reviews,Public,New Delhi + 339 more,25 years old,10000+ employees
1490,Kotak Mahindra Bank,3.8,5.1k Reviews,Public,Mumbai + 344 more,17 years old,10000+ employees
1491,Amazon,4.2,4.8k Reviews,Private,Washington + 156 more,26 years old,10000+ employees
1492,Reliance,4.2,4.6k Reviews,Public,Mumbai + 206 more,54 years old,10000+ employees
1493,Hinduja Global Solutions,3.9,4.1k Reviews,Public,Bangalore + 73 more,20 years old,10000+ employees
1494,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 450 more,13 years old,10000+ employees
1495,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 354 more,26 years old,10000+ employees
1496,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
1497,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
1498,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
1499,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
1500,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1501,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
1502,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
1503,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
1504,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
1505,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
1506,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
1507,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
1508,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
1509,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
1510,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
